,ResultsFK,X,TransactionTime,BlockIDResourceID
237,1,0.052083333333333336,60.0,L0 Gate Lounge 1_Gate_Lounge_02
238,1,0.052083333333333336,35.0,L0 Gate Lounge 1_Gate_Lounge_07
239,1,0.052083333333333336,31.0,L0 Gate Lounge 1_Gate_Lounge_08
240,1,0.05555555555555555,17.0,L0 Gate Lounge 1_Gate_Lounge_11
241,1,0.05555555555555555,83.0,L0 Gate Lounge 1_Gate_Lounge_01
242,1,0.05555555555555555,50.0,L0 Gate Lounge 1_Gate_Lounge_04
243,1,0.05555555555555555,32.0,L0 Gate Lounge 1_Gate_Lounge_15
244,1,0.05555555555555555,21.0,L0 Gate Lounge 1_Gate_Lounge_12
245,1,0.05555555555555555,34.0,L0 Gate Lounge 1_Gate_Lounge_13
246,1,0.05555555555555555,16.0,L0 Gate Lounge 1_Gate_Lounge_14
247,1,0.05555555555555555,25.0,L0 Gate Lounge 1_Gate_Lounge_06
248,1,0.05555555555555555,51.0,L0 Gate Lounge 1_Gate_Lounge_03
249,1,0.05555555555555555,32.0,L0 Gate Lounge 1_Gate_Lounge_09
250,1,0.05555555555555555,25.0,L0 Gate Lounge 1_Gate_Lounge_10
251,1,0.05555555555555555,48.0,L0 Gate Lounge 1_Gate_Lounge_05
252,1,0.05555555555555555,48.0,L0 Gate Lounge 1_Gate_Lounge_02
253,1,0.05555555555555555,28.0,L0 Gate Lounge 1_Gate_Lounge_07
254,1,0.05555555555555555,25.0,L0 Gate Lounge 1_Gate_Lounge_08
255,1,0.059027777777777776,31.0,L0 Gate Lounge 1_Gate_Lounge_11
256,1,0.059027777777777776,87.0,L0 Gate Lounge 1_Gate_Lounge_01
257,1,0.059027777777777776,57.0,L0 Gate Lounge 1_Gate_Lounge_04
258,1,0.059027777777777776,30.0,L0 Gate Lounge 1_Gate_Lounge_15
259,1,0.059027777777777776,22.0,L0 Gate Lounge 1_Gate_Lounge_12
260,1,0.059027777777777776,26.0,L0 Gate Lounge 1_Gate_Lounge_13
261,1,0.059027777777777776,21.0,L0 Gate Lounge 1_Gate_Lounge_14
262,1,0.059027777777777776,41.0,L0 Gate Lounge 1_Gate_Lounge_06
263,1,0.059027777777777776,53.0,L0 Gate Lounge 1_Gate_Lounge_03
264,1,0.059027777777777776,28.0,L0 Gate Lounge 1_Gate_Lounge_09
265,1,0.059027777777777776,15.0,L0 Gate Lounge 1_Gate_Lounge_10
266,1,0.059027777777777776,38.0,L0 Gate Lounge 1_Gate_Lounge_05
267,1,0.059027777777777776,61.0,L0 Gate Lounge 1_Gate_Lounge_02
268,1,0.059027777777777776,30.0,L0 Gate Lounge 1_Gate_Lounge_07
269,1,0.059027777777777776,31.0,L0 Gate Lounge 1_Gate_Lounge_08
270,1,0.0625,17.0,L0 Gate Lounge 1_Gate_Lounge_11
271,1,0.0625,62.0,L0 Gate Lounge 1_Gate_Lounge_01
272,1,0.0625,61.0,L0 Gate Lounge 1_Gate_Lounge_04
273,1,0.0625,23.0,L0 Gate Lounge 1_Gate_Lounge_15
274,1,0.0625,24.0,L0 Gate Lounge 1_Gate_Lounge_12
275,1,0.0625,20.0,L0 Gate Lounge 1_Gate_Lounge_13
276,1,0.0625,14.0,L0 Gate Lounge 1_Gate_Lounge_14
277,1,0.0625,35.0,L0 Gate Lounge 1_Gate_Lounge_06
278,1,0.0625,49.0,L0 Gate Lounge 1_Gate_Lounge_03
279,1,0.0625,30.0,L0 Gate Lounge 1_Gate_Lounge_09
280,1,0.0625,23.0,L0 Gate Lounge 1_Gate_Lounge_10
281,1,0.0625,35.0,L0 Gate Lounge 1_Gate_Lounge_05
282,1,0.0625,66.0,L0 Gate Lounge 1_Gate_Lounge_02
283,1,0.0625,34.0,L0 Gate Lounge 1_Gate_Lounge_07
284,1,0.0625,24.0,L0 Gate Lounge 1_Gate_Lounge_08
285,1,0.06597222222222222,27.0,L0 Gate Lounge 1_Gate_Lounge_11
286,1,0.06597222222222222,68.0,L0 Gate Lounge 1_Gate_Lounge_01
287,1,0.06597222222222222,53.0,L0 Gate Lounge 1_Gate_Lounge_04
288,1,0.06597222222222222,28.0,L0 Gate Lounge 1_Gate_Lounge_15
289,1,0.06597222222222222,31.0,L0 Gate Lounge 1_Gate_Lounge_12
290,1,0.06597222222222222,21.0,L0 Gate Lounge 1_Gate_Lounge_13
291,1,0.06597222222222222,8.0,L0 Gate Lounge 1_Gate_Lounge_14
292,1,0.06597222222222222,26.0,L0 Gate Lounge 1_Gate_Lounge_06
293,1,0.06597222222222222,34.0,L0 Gate Lounge 1_Gate_Lounge_03
294,1,0.06597222222222222,21.0,L0 Gate Lounge 1_Gate_Lounge_09
295,1,0.06597222222222222,23.0,L0 Gate Lounge 1_Gate_Lounge_10
296,1,0.06597222222222222,40.0,L0 Gate Lounge 1_Gate_Lounge_05
297,1,0.06597222222222222,44.0,L0 Gate Lounge 1_Gate_Lounge_02
298,1,0.06597222222222222,26.0,L0 Gate Lounge 1_Gate_Lounge_07
299,1,0.06597222222222222,29.0,L0 Gate Lounge 1_Gate_Lounge_08
300,1,0.06944444444444445,21.0,L0 Gate Lounge 1_Gate_Lounge_11
301,1,0.06944444444444445,77.0,L0 Gate Lounge 1_Gate_Lounge_01
302,1,0.06944444444444445,40.0,L0 Gate Lounge 1_Gate_Lounge_04
303,1,0.06944444444444445,26.0,L0 Gate Lounge 1_Gate_Lounge_15
304,1,0.06944444444444445,18.0,L0 Gate Lounge 1_Gate_Lounge_12
305,1,0.06944444444444445,15.0,L0 Gate Lounge 1_Gate_Lounge_13
306,1,0.06944444444444445,6.0,L0 Gate Lounge 1_Gate_Lounge_14
307,1,0.06944444444444445,23.0,L0 Gate Lounge 1_Gate_Lounge_06
308,1,0.06944444444444445,35.0,L0 Gate Lounge 1_Gate_Lounge_03
309,1,0.06944444444444445,23.0,L0 Gate Lounge 1_Gate_Lounge_09
310,1,0.06944444444444445,17.0,L0 Gate Lounge 1_Gate_Lounge_10
311,1,0.06944444444444445,33.0,L0 Gate Lounge 1_Gate_Lounge_05
312,1,0.06944444444444445,48.0,L0 Gate Lounge 1_Gate_Lounge_02
313,1,0.06944444444444445,33.0,L0 Gate Lounge 1_Gate_Lounge_07
314,1,0.06944444444444445,24.0,L0 Gate Lounge 1_Gate_Lounge_08
315,1,0.07291666666666667,15.0,L0 Gate Lounge 1_Gate_Lounge_11
316,1,0.07291666666666667,56.0,L0 Gate Lounge 1_Gate_Lounge_01
317,1,0.07291666666666667,35.0,L0 Gate Lounge 1_Gate_Lounge_04
