,ResultsFK,Time,TStartWait_TFinish,CustomColumnID_Assignments_T1_AssignmentBegin__CustomColumnID_Assignments_T2_AssignmentEnd_,BlockIDResourceID
374,1,44013.135416666664,,,L0 Security Control 1_Common Usage_6
375,1,44013.135416666664,,,L0 Security Control 1_Common Usage_2
376,1,44013.135416666664,,,L0 Security Control 1_Common Usage_4
377,1,44013.135416666664,,,L0 Security Control 1_Common Usage_1
378,1,44013.13888888889,13.0,2268.0,L0 Security Control 1_Common Usage_9
379,1,44013.13888888889,,,L0 Security Control 1_Common Usage_7
380,1,44013.13888888889,,,L0 Security Control 1_Common Usage_5
381,1,44013.13888888889,13.0,403.0,L0 Security Control 1_Common Usage_8
382,1,44013.13888888889,,,L0 Security Control 1_Common Usage_3
383,1,44013.13888888889,,,L0 Security Control 1_Common Usage_6
384,1,44013.13888888889,,,L0 Security Control 1_Common Usage_2
385,1,44013.13888888889,,,L0 Security Control 1_Common Usage_4
386,1,44013.13888888889,,,L0 Security Control 1_Common Usage_1
387,1,44013.14236111111,13.0,2268.0,L0 Security Control 1_Common Usage_9
388,1,44013.14236111111,,,L0 Security Control 1_Common Usage_7
389,1,44013.14236111111,,,L0 Security Control 1_Common Usage_5
390,1,44013.14236111111,13.0,403.0,L0 Security Control 1_Common Usage_8
391,1,44013.14236111111,,,L0 Security Control 1_Common Usage_3
392,1,44013.14236111111,,,L0 Security Control 1_Common Usage_6
393,1,44013.14236111111,,,L0 Security Control 1_Common Usage_2
394,1,44013.14236111111,,,L0 Security Control 1_Common Usage_4
395,1,44013.14236111111,,,L0 Security Control 1_Common Usage_1
396,1,44013.145833333336,13.0,2268.0,L0 Security Control 1_Common Usage_9
397,1,44013.145833333336,12.0,344.0,L0 Security Control 1_Common Usage_7
398,1,44013.145833333336,,,L0 Security Control 1_Common Usage_5
399,1,44013.145833333336,12.0,403.0,L0 Security Control 1_Common Usage_8
400,1,44013.145833333336,,,L0 Security Control 1_Common Usage_3
401,1,44013.145833333336,,,L0 Security Control 1_Common Usage_6
402,1,44013.145833333336,,,L0 Security Control 1_Common Usage_2
403,1,44013.145833333336,,,L0 Security Control 1_Common Usage_4
404,1,44013.145833333336,,,L0 Security Control 1_Common Usage_1
405,1,44013.149305555555,12.0,2268.0,L0 Security Control 1_Common Usage_9
406,1,44013.149305555555,12.0,344.0,L0 Security Control 1_Common Usage_7
407,1,44013.149305555555,,,L0 Security Control 1_Common Usage_5
408,1,44013.149305555555,11.0,403.0,L0 Security Control 1_Common Usage_8
409,1,44013.149305555555,,,L0 Security Control 1_Common Usage_3
