,ResultsFK,Time,Time_1,FacilityStates,_ImmigrationType
487,1,44013.350694444445,0,Idle,Normal
488,1,44013.350694444445,0,Idle,Automatic
489,1,44013.350694444445,10,Closed,Normal
490,1,44013.350694444445,0,In Use,Automatic
491,1,44013.350694444445,2,Closed,Automatic
492,1,44013.354166666664,0,In Use,Normal
493,1,44013.354166666664,0,Idle,Normal
494,1,44013.354166666664,0,Idle,Automatic
495,1,44013.354166666664,10,Closed,Normal
496,1,44013.354166666664,0,In Use,Automatic
497,1,44013.354166666664,2,Closed,Automatic
498,1,44013.35763888889,0,In Use,Normal
499,1,44013.35763888889,0,Idle,Normal
500,1,44013.35763888889,0,Idle,Automatic
501,1,44013.35763888889,10,Closed,Normal
502,1,44013.35763888889,0,In Use,Automatic
503,1,44013.35763888889,2,Closed,Automatic
504,1,44013.36111111111,0,In Use,Normal
505,1,44013.36111111111,0,Idle,Normal
506,1,44013.36111111111,0,Idle,Automatic
507,1,44013.36111111111,10,Closed,Normal
508,1,44013.36111111111,0,In Use,Automatic
509,1,44013.36111111111,2,Closed,Automatic
510,1,44013.364583333336,0,In Use,Normal
511,1,44013.364583333336,0,Idle,Normal
512,1,44013.364583333336,0,Idle,Automatic
513,1,44013.364583333336,10,Closed,Normal
514,1,44013.364583333336,0,In Use,Automatic
515,1,44013.364583333336,2,Closed,Automatic
516,1,44013.368055555555,0,In Use,Normal
517,1,44013.368055555555,0,Idle,Normal
518,1,44013.368055555555,0,Idle,Automatic
519,1,44013.368055555555,10,Closed,Normal
520,1,44013.368055555555,0,In Use,Automatic
521,1,44013.368055555555,2,Closed,Automatic
522,1,44013.37152777778,0,In Use,Normal
523,1,44013.37152777778,0,Idle,Normal
524,1,44013.37152777778,0,Idle,Automatic
525,1,44013.37152777778,10,Closed,Normal
526,1,44013.37152777778,0,In Use,Automatic
527,1,44013.37152777778,2,Closed,Automatic
528,1,44013.375,0,In Use,Normal
529,1,44013.375,0,Idle,Normal
530,1,44013.375,0,Idle,Automatic
531,1,44013.375,10,Closed,Normal
532,1,44013.375,0,In Use,Automatic
533,1,44013.375,2,Closed,Automatic
534,1,44013.37847222222,0,In Use,Normal
535,1,44013.37847222222,0,Idle,Normal
536,1,44013.37847222222,0,Idle,Automatic
537,1,44013.37847222222,10,Closed,Normal
538,1,44013.37847222222,0,In Use,Automatic
539,1,44013.37847222222,2,Closed,Automatic
540,1,44013.381944444445,0,In Use,Normal
541,1,44013.381944444445,0,Idle,Normal
542,1,44013.381944444445,0,Idle,Automatic
543,1,44013.381944444445,10,Closed,Normal
544,1,44013.381944444445,0,In Use,Automatic
545,1,44013.381944444445,2,Closed,Automatic
546,1,44013.385416666664,0,In Use,Normal
547,1,44013.385416666664,0,Idle,Normal
