ResultsFK,X,TransactionTime,BlockIDResourceID
1,0.0798611111111111,6.0,L0 Gate Lounge 1_Gate_Lounge_13
1,0.0798611111111111,11.0,L0 Gate Lounge 1_Gate_Lounge_14
1,0.0798611111111111,18.0,L0 Gate Lounge 1_Gate_Lounge_06
1,0.0798611111111111,25.0,L0 Gate Lounge 1_Gate_Lounge_03
1,0.0798611111111111,19.0,L0 Gate Lounge 1_Gate_Lounge_09
1,0.0798611111111111,10.0,L0 Gate Lounge 1_Gate_Lounge_10
1,0.0798611111111111,18.0,L0 Gate Lounge 1_Gate_Lounge_05
1,0.0798611111111111,25.0,L0 Gate Lounge 1_Gate_Lounge_02
1,0.0798611111111111,20.0,L0 Gate Lounge 1_Gate_Lounge_07
1,0.0798611111111111,19.0,L0 Gate Lounge 1_Gate_Lounge_08
1,0.08333333333333333,17.0,L0 Gate Lounge 1_Gate_Lounge_11
1,0.08333333333333333,26.0,L0 Gate Lounge 1_Gate_Lounge_01
1,0.08333333333333333,28.0,L0 Gate Lounge 1_Gate_Lounge_04
1,0.08333333333333333,15.0,L0 Gate Lounge 1_Gate_Lounge_15
