,ResultsFK,Time,TStartWait_TFinish,CustomColumnID_Assignments_T1_AssignmentBegin__CustomColumnID_Assignments_T2_AssignmentEnd_,BlockIDResourceID,_ImmigrationType
324,1,44013.166666666664,,,L0 Immigration Control 1_Automatic_2,Automatic
325,1,44013.166666666664,,,L0 Immigration Control 1_Normal_06,Normal
326,1,44013.166666666664,,,L0 Immigration Control 1_Normal_10,Normal
327,1,44013.166666666664,,,L0 Immigration Control 1_Normal_05,Normal
328,1,44013.166666666664,,,L0 Immigration Control 1_Normal_08,Normal
329,1,44013.166666666664,,,L0 Immigration Control 1_Normal_04,Normal
330,1,44013.166666666664,,,L0 Immigration Control 1_Automatic_1,Automatic
331,1,44013.166666666664,,,L0 Immigration Control 1_Normal_03,Normal
332,1,44013.166666666664,,,L0 Immigration Control 1_Normal_01,Normal
333,1,44013.166666666664,,,L0 Immigration Control 1_Normal_02,Normal
334,1,44013.166666666664,,,L0 Immigration Control 1_Normal_07,Normal
335,1,44013.166666666664,,,L0 Immigration Control 1_Normal_09,Normal
336,1,44013.17013888889,,,L0 Immigration Control 1_Automatic_2,Automatic
337,1,44013.17013888889,,,L0 Immigration Control 1_Normal_06,Normal
338,1,44013.17013888889,,,L0 Immigration Control 1_Normal_10,Normal
339,1,44013.17013888889,,,L0 Immigration Control 1_Normal_05,Normal
340,1,44013.17013888889,,,L0 Immigration Control 1_Normal_08,Normal
341,1,44013.17013888889,,,L0 Immigration Control 1_Normal_04,Normal
342,1,44013.17013888889,,,L0 Immigration Control 1_Automatic_1,Automatic
343,1,44013.17013888889,,,L0 Immigration Control 1_Normal_03,Normal
344,1,44013.17013888889,,,L0 Immigration Control 1_Normal_01,Normal
345,1,44013.17013888889,,,L0 Immigration Control 1_Normal_02,Normal
346,1,44013.17013888889,,,L0 Immigration Control 1_Normal_07,Normal
347,1,44013.17013888889,,,L0 Immigration Control 1_Normal_09,Normal
348,1,44013.17361111111,,,L0 Immigration Control 1_Automatic_2,Automatic
349,1,44013.17361111111,,,L0 Immigration Control 1_Normal_06,Normal
350,1,44013.17361111111,,,L0 Immigration Control 1_Normal_10,Normal
351,1,44013.17361111111,,,L0 Immigration Control 1_Normal_05,Normal
352,1,44013.17361111111,,,L0 Immigration Control 1_Normal_08,Normal
353,1,44013.17361111111,,,L0 Immigration Control 1_Normal_04,Normal
354,1,44013.17361111111,,,L0 Immigration Control 1_Automatic_1,Automatic
355,1,44013.17361111111,,,L0 Immigration Control 1_Normal_03,Normal
356,1,44013.17361111111,,,L0 Immigration Control 1_Normal_01,Normal
357,1,44013.17361111111,,,L0 Immigration Control 1_Normal_02,Normal
358,1,44013.17361111111,,,L0 Immigration Control 1_Normal_07,Normal
359,1,44013.17361111111,,,L0 Immigration Control 1_Normal_09,Normal
360,1,44013.177083333336,,,L0 Immigration Control 1_Automatic_2,Automatic
361,1,44013.177083333336,,,L0 Immigration Control 1_Normal_06,Normal
362,1,44013.177083333336,,,L0 Immigration Control 1_Normal_10,Normal
363,1,44013.177083333336,,,L0 Immigration Control 1_Normal_05,Normal
364,1,44013.177083333336,,,L0 Immigration Control 1_Normal_08,Normal
365,1,44013.177083333336,,,L0 Immigration Control 1_Normal_04,Normal
